"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"54","kmeans_C3_LS_growth_s1_5cl",14.7483208675854,4.81582155623919,0.326533549105489,8.43289884624247,1.83109647577542,0.480278990618142,678.321790834502,5,"kmeans","s1","C3+LS","growth"
"55","kmeans_raw_growth_C3_s1_4cl",14.9696810751844,7.75089074383205,0.517772603497939,10.1803310672074,1.17904714395472,0.379652458307224,1603.48139909982,4,"kmeans","s1","C3","raw+growth"
"56","kmeans_raw_growth_C3_s1_5cl",14.8094546233237,6.86679312076573,0.463676299730245,10.1803310672074,1.32550563909998,0.388495089951393,1272.61515445101,5,"kmeans","s1","C3","raw+growth"
"57","kmeans_raw_growth_LS_s1_5cl",14.6403455443945,6.43524300237546,0.439555404130431,10.6050380607191,1.3729480494267,0.416519042501188,1173.31539071696,5,"kmeans","s1","LS","raw+growth"
"58","dtw_C3_raw_cont_4cl",11.2233963131224,3.78172586811711,0.336950221003556,4.49769693785733,1.4723797085408,0.479186284999984,507.66672239389,4,"DTW","cont","C3","raw"
"59","dtw_C3_raw_s1_3cl",11.7630259159236,3.96369980418284,0.336962600653389,4.18582688346476,2.27529495968832,0.585968023529103,576.615231633028,3,"DTW","s1","C3","raw"
"60","dtw_C3_raw_s2_2cl",10.4210826893929,5.83968072490363,0.560371786594455,3.51757104077438,1.61708097285104,0.422192178026069,1141.43026300186,2,"DTW","s2","C3","raw"
"61","dtw_C3_raw_sep_5cl",14.2288024176445,8.21445969355357,0.577312092222686,10.2260449048477,1.19897481453111,0.268966066379895,1809.14136104512,5,"DTW","sep","C3","raw"
"62","kshape_C3_raw_cont_4cl",10.6618929426379,3.75444527470911,0.35213683863723,10.7011020100984,1.03673717946709,0.413150703277386,651.733093688562,4,"kshape","cont","C3","raw"
"63","kshape_C3_raw_s1_2cl",12.1053274564949,6.21681520038666,0.51356026697577,4.18582688346476,1.90839169442111,0.469132949431568,1292.58530320223,2,"kshape","s1","C3","raw"
"64","kshape_C3_raw_s2_4cl",10.1182680887923,2.82310988188529,0.279011176330894,3.27423377603174,1.42055625716359,0.588317064853161,299.848266060476,4,"kshape","s2","C3","raw"
"65","kshape_C3_raw_sep_4cl",13.5819972650693,11.0651622623992,0.814693306621184,14.2885383307103,0.911533346635945,0.111783986670983,3317.8044912031,4,"kshape","sep","C3","raw"
"66","dtw_C3_growth_cont_3cl",11.7528540136202,4.05544026395448,0.345060038970508,5.50301713664317,2.20988678279044,0.570486690658858,558.078333917978,3,"DTW","cont","C3","growth"
"67","dtw_C3_growth_s1_3cl",11.1276812638894,5.10688678824939,0.458935394278575,3.90431279109151,1.79695591160769,0.469267236475079,778.409798980899,3,"DTW","s1","C3","growth"
"68","dtw_C3_growth_s2_3cl",11.1254766202994,4.1747316374178,0.375240700232171,6.35970128742627,1.46517470511705,0.517093756560063,624.333772590435,3,"DTW","s2","C3","growth"
"69","dtw_C3_growth_sep_5cl",13.8886682581053,8.09403884782389,0.582780054747169,10.6818684838859,1.02601143970457,0.265190419553367,1742.48272539106,5,"DTW","sep","C3","growth"
"70","kshape_C3_growth_cont_4cl",10.7257176628531,3.39595359556951,0.316617843422346,10.6005517227446,1.05111791041248,0.475027755192395,539.870526885332,4,"kshape","cont","C3","growth"
"71","kshape_C3_growth_s1_5cl",9.97809393993148,5.38033508914972,0.539214715910628,11.4298545649116,0.676550445841994,0.322240449455008,877.648210864798,5,"kshape","s1","C3","growth"
"72","kshape_C3_growth_s2_2cl",11.256896530487,6.65333530506612,0.591045257193841,6.35970128742627,1.60889934419681,0.385591289505896,1439.85155749451,2,"kshape","s2","C3","growth"
